ID,Sample,Label,Predicted
0,0,gender,1
1,0,age,0
2,0,health,1
3,1,gender,1
4,1,age,0
5,1,health,0
6,2,gender,1
7,2,age,0
8,2,health,1
9,3,gender,0
10,3,age,0
11,3,health,0
12,4,gender,0
13,4,age,0
14,4,health,1
15,5,gender,1
16,5,age,0
17,5,health,1
18,6,gender,0
19,6,age,1
20,6,health,1
21,7,gender,1
22,7,age,1
23,7,health,1
24,8,gender,1
25,8,age,0
26,8,health,1
27,9,gender,1
28,9,age,1
29,9,health,1
30,10,gender,0
31,10,age,1
32,10,health,1
33,11,gender,1
34,11,age,1
35,11,health,1
36,12,gender,0
37,12,age,0
38,12,health,1
39,13,gender,0
40,13,age,1
41,13,health,1
42,14,gender,1
43,14,age,1
44,14,health,1
45,15,gender,1
46,15,age,0
47,15,health,1
48,16,gender,0
49,16,age,1
50,16,health,1
51,17,gender,0
52,17,age,0
53,17,health,0
54,18,gender,1
55,18,age,0
56,18,health,0
57,19,gender,1
58,19,age,0
59,19,health,0
60,20,gender,1
61,20,age,0
62,20,health,1
63,21,gender,0
64,21,age,1
65,21,health,1
66,22,gender,1
67,22,age,0
68,22,health,1
69,23,gender,1
70,23,age,0
71,23,health,0
72,24,gender,1
73,24,age,0
74,24,health,1
75,25,gender,0
76,25,age,1
77,25,health,1
78,26,gender,1
79,26,age,0
80,26,health,1
81,27,gender,1
82,27,age,1
83,27,health,1
84,28,gender,1
85,28,age,1
86,28,health,1
87,29,gender,1
88,29,age,1
89,29,health,1
90,30,gender,0
91,30,age,0
92,30,health,0
93,31,gender,1
94,31,age,1
95,31,health,1
96,32,gender,1
97,32,age,1
98,32,health,1
99,33,gender,1
100,33,age,1
101,33,health,1
102,34,gender,1
103,34,age,1
104,34,health,1
105,35,gender,1
106,35,age,0
107,35,health,1
108,36,gender,0
109,36,age,0
110,36,health,0
111,37,gender,1
112,37,age,0
113,37,health,0
114,38,gender,1
115,38,age,0
116,38,health,1
117,39,gender,1
118,39,age,0
119,39,health,0
120,40,gender,1
121,40,age,1
122,40,health,1
